arch,dtype,state_dtype,b,sq,num_k_heads,num_v_heads,head_k_dim,head_v_dim,NUM_BLOCKS_PER_V_DIM,NUM_WARPS,WARP_THREADS_K,duration
gfx950,torch.bfloat16,torch.bfloat16,128,1,4,8,128,128,4,1,16,19.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,1,1,16,32,128,128,8,4,16,4.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,2,1,16,32,128,128,8,4,16,5.399000000000342
gfx950,torch.bfloat16,torch.bfloat16,3,1,16,32,128,128,8,4,16,5.878999999999905
gfx950,torch.bfloat16,torch.bfloat16,4,1,16,32,128,128,8,4,16,6.479000000000269
gfx950,torch.bfloat16,torch.bfloat16,5,1,16,32,128,128,8,4,16,7.09900000000016
gfx950,torch.bfloat16,torch.bfloat16,6,1,16,32,128,128,4,4,16,7.719000000000051
gfx950,torch.bfloat16,torch.bfloat16,7,1,16,32,128,128,8,4,16,8.399000000000342
gfx950,torch.bfloat16,torch.bfloat16,8,1,16,32,128,128,8,2,16,8.81899999999996
gfx950,torch.bfloat16,torch.bfloat16,9,1,16,32,128,128,4,4,16,9.479499999999462
gfx950,torch.bfloat16,torch.bfloat16,10,1,16,32,128,128,4,4,16,9.898999999999887
gfx950,torch.bfloat16,torch.bfloat16,11,1,16,32,128,128,2,4,16,10.559000000000196
gfx950,torch.bfloat16,torch.bfloat16,12,1,16,32,128,128,2,4,16,10.819000000000415
gfx950,torch.bfloat16,torch.bfloat16,13,1,16,32,128,128,2,4,16,11.378999999999905
gfx950,torch.bfloat16,torch.bfloat16,14,1,16,32,128,128,2,4,16,11.678999999999633
gfx950,torch.bfloat16,torch.bfloat16,15,1,16,32,128,128,4,2,16,11.918999999999869
gfx950,torch.bfloat16,torch.bfloat16,16,1,16,32,128,128,2,4,16,12.19900000000007
gfx950,torch.bfloat16,torch.bfloat16,17,1,16,32,128,128,4,2,16,12.87900000000036
gfx950,torch.bfloat16,torch.bfloat16,18,1,16,32,128,128,2,4,16,13.078999999999724
gfx950,torch.bfloat16,torch.bfloat16,19,1,16,32,128,128,2,4,16,13.47899999999936
gfx950,torch.bfloat16,torch.bfloat16,20,1,16,32,128,128,8,1,16,13.538999999999305
